student_star,comments
5,Jans is GREAT! She is a fantastic teacher and her class was both interesting and lively. She does expect you to read a lot out of the book  and other sources as well. She is a very lively teacher and you can tell she loves the subject she teaches!
5,She's one of my favorite teachers I've taken. I actually took her last semester but I liked her enough that I thought everyone should still know SHE'S AWESOME. She is clear on the work and you go over it in class. I would've taken her for 2010 as well if she offered it..
4,I found Professor Wager very helpful. She does have a specific way she wants you to write  but does make it clear after the first few assignments. She helped me with brevity  but wanted me to change my writing style to match the way she liked it. She was a decent professor  and is very willing to help.
3.5,I took into to cinema studies from her and loved it. Great teacher which allot of film experience. She will work with you to sharpen your writing skills. One of my favorite professors here on campus! Just be prepared to think outside the box about movies.
4,Trouble is  if you have different opinions on the topics you talk about then she won't like you. As long as you stick to what she lays out you should be good. She wants very badly to have students she molds  if she can't mold you she'll throw you away.
4.5,Jans is wonderful. Her teaching methods are some of the best that I have experienced. There is a good deal of time involved in the course  but if you like film criticism you won't mind. Though the subject ended up not being my cup of tea  I still enjoyed going to class and doing the assignments.
5,Jans is an excellent teacher! Just awesome. She is definitely organized. She wants class discussion  and that makes the class fun! You can correct your papers at the end of the semester in your portfolio to have a better grade. She is friendly and sincerly cares about student success. WORD OF CAUTION  MANDATORY ATTENDANCE AND DON'T EVER BE LATE.
4,I loved this class! Jans is very flexible and open-minded. She just wants to help students learn. Take her class!!
5,Jan is an amazing Professor  and I highly recommend taking her for English. Grades are easy to improve  as you can edit your writing assignments as much as you want to get a better grade.
5,She was an excellent teacher! Very organized. She encouraged class discussion  which made the class fun! Had several papers to do which helped you to improve writing skills. Could correct papers to have a better grade. She is also friendly and genuinely interested in student success. Awesome all around!
4,Writing in her class was fun. I really liked how she would let students rewrite their papers till they got the grade they wanted. It certainly kept my grade up!
5,Jans has the most effective teaching style of any teacher I've met. The material can be difficult  but she makes it very easy to do well. You have a series of papers to write  if you get a bad score on them she will let you rewrite them for a better score. You can continue rewriting them until you get the score you want.Well prepared  helpfull. A+
1.5,This guy is a quack! You never understand what he is saying!
2.5,Warden's mind is sort of like a lottery ball machine... every now and then a ball will come firing out with a small piece of information but never in a sequential order. Nice guy though.
2,he likes to talk about his cat and diareha.
1.5,Could I despise this man anymore? His lectures are one random topic after another. He is always late and never knows when the class is over... partially because he doesn't wear a watch. Lost every single one of my papers. Truly awful waste of time.
4.5,The lectures are sleep-inducing unless u participate  he gives lots of credit if u do. Study sheets for quizzes  so u know what 2 expect. Tests are do-able if u read the material. 8 page paper at the end  I'm so sick of doing PhilaU papers.
5,thinks too much  knows too much  but all in all hes a great person to work with. Though sometimes it looks like its painful for him to teach..all the sweat is a shame..
5,Wonderful teacher!! He is kind and knows his stuff. Take him if you can!
5,talks sooooooo much  zzzzz..where am i?  but very down to earth  fair grader if u do the work  participate in class  it REALLY REALLY helps ur grade  so do it!
3,I took his online class as an elective and regretted taking it by the end. The information is interesting but he is a tough grader. His tests were hard and very confusing.
3,He gives quizzes that are hard to understand . The midterm and the final are a joke. The questions are twisted in such a way to just confuse you. (which I think is his main goal). You will love the class and hate it at the end. Most of my classmates agreed with me on this. Good luck  you will need it!
4,Best professor I've had at UVU. If you show up  pay attention  participate  and read you'll learn a lot and get a good grade.
5,By far one of the best professors I've ever had. He doesn't give busy work and he consistently checks to make sure that you're understanding the materials. Great Professor  Highly recommend.
5,Bryan is Awesome! He knows his stuff. He knows how to teach for understanding and how to make all subjects interesting. He expects quite a lot but is always there to help. I came out learning a ton and loving the subject.
4.5,Really good professor  knows what he's talking about. Willing to work with you  Tests kinda hard and Expects a lot but makes it fun. If you pay attention you will do well in the class. Has you make a Language for this class as final project.
5,Great teacher and fun class. Two thumbs up and totally recommend this professor to others.
5,Take this class! Bryan is the man! Do the reading and the assignments and study for midterm and final and you'll be fine. 1st half is linguistics  which might be difficult for some  but he explains it well. Work on your language creation project throughout the semester. Great class! I loved class discussions and he includes everyone. Take it!
3,Before you take any of his classe you should have a masters in English. He cares more about your grammar than your content. He doesn't make very clear points  and he tests on things that he doesn't teach  and arent in the books. Nice man but perhaps not the best teacher.
5,"(Language & Culture)This class was great. Be patient through the linguistics and the culture part is awesome! Be warned: you will only get an ""A"" if you earn it completely. Read everything asked of you and do the workbook assignments. Brian's hilarious and extremely fair. Very fun class. Highly recommended."
5,Bryan is one of the best ASL and Deaf History teachers i have ever had! Pay attention and you can't go wrong.
4.5,He was my teacher for years. He knows alot about deaf culture  history and linguistics. I loved having him and it was a lot of fun. It was very educational for me. If it werent for him  then I wouldn't be able to know a lot of things because I am currente
5,He is very good. He likes to take the time to teach his students. He care's about how they do. If you don't understand something  he is willing to actually help you. Keeps class entertaining.
2,I am very disappointed in this class. I have decided against taking any asl classes because of this instructor. I have also changed my major because of this class.
5,Very knowledgeable about the topic. ASL clear and easy to read. Expects a lot from his students and makes you earn that A  but you come away from his classes with improved skill in ASL and more knowledge about topics relating to the Deaf. Highly recomended.
2.5,No Comments
5,Very interesting. Willing to help and respects people's oppinions. Very knowledgable about the subject.
4.5,Very good ASL/Deaf History teacher. Well informed  clear signs and fair instructor.
1,Took online course. Day after Midterms I was the *only* one who turned in the next assignment. Rest of the year was 3 people turning in their homework. Took off points for incorrect COMMENTS  not just incorrect code. hyper-specific. bad teacher. wouldnt even help me install the software properly  gave no link to online instructions either.
1,"This ""professor"" should not teach. He does not actually care about whether or not his students fail. He does not give instruction but rather is a grader. And when he does give feedback it's not productive  he just tells you what you did wrong. There is no helpful criticism. He is just out for an ego boost."
1,"He does not do a very good job of actually instructing. If you can't meet with him during his ""How to schedule ""face-to-face"" meeting"" hours then you're screwed as far as learning more. Good luck actually learning how to do anything from him."
1,He will give you a zero for even the smallest of errors. Does not answer questions or help  just tells you to read the book. His grading system is completely outrageous  and the class is more about following his ever growing set of rules than learning to code. Not at all what I expected from an introductory coding class.
1,"Although this ""professor"" sticks to his syllabus when grading  his system is outrageous. I was deducted 22 points from the first assignment  (out of 20 points possible idk how that makes sense) 10 of which was for a single incorrect output when my other six were correct. Gives no credit for correct lines of code  only deducts for wrong ones."
1,He doesn't answer questions  and won't meet with students unless you submit your questions to him first. Over 60% of the class has dropped out. He has insulted students  and doesn't grade fairly. I told him I was having trouble on quizzes. He told me to read the book. He is an embarrassment for DMACC. Don't take his class.
1,His syllabus/announcements use 5 different fonts and is just a list of all of the things you aren't allowed to do. This class isn't about learning to code  it's about remembering his rules. Don't bother asking him for help. He won't answer questions. If you follow his rules on how to ask questions  he will respond  but he will not help you.
1,Missed the first assignment because I was moving. Did every assignment thereafter and he had me dropped at midterms for not attending. Does not give clear instructions and he doesn't seem to care at all about the students. I get the impression he is one of those people that is miserable and wants everyone else to be miserable as well.
1,"This ""professor"" has no concept of how to teach a class. I should have read the warning signs. He waits until the refund date for classes to actually assign homework  his list of specifications took a full minute just to scroll through. He double deducts points because he lists them in different ways. DO NOT TAKE. He enjoys taking points off."
1,Horrible gives no help to students and expects unrealistic levels of perfection on homework
1,I should have listened to the reviews on here! Avoid this instructor at all cost!! I started the class  did my first assignment  got 4 out of 5 correct  and received a 50% grade! Unrealistic expectations from this instructor! Dropped this class after the first quiz to get a refund.
1,"This ""teacher"" will not inspire you to be a better programmer. He takes pride in deducting as many points as possible. Do you want to get 50% on an assignment because you forgot to comment the chapter/assignment number and didn't use 100% correct naming conventions even though your program runs flawlessly?Then this professor is for you."
1,Should've listened to everyone on here. Not sure how this guy still has a job. Unreal requirements that would not apply in the real world. All based on what HE wants to see  not what is logical. Even if you're work is correct  it has to be done in his ridiculously specific manner in order  and you will STILL lose points. Avoid at all costs!
1,Both books outdated  one by 9 years. He did not explain his way on how to turn in assignments properly. Explanation for everything is repetition of syllabus and reread. 4 open days is required to meet. He insulted students and scares students from giving instruction on discussion board. The download is provided to him.
1,Horrible Instructor! Wish I had looked him up before taking his class. Change to another instructor immediately. Deducts points like it's going out of style. Fully functioning solutions with documentation deducted points for unclear technicalities.
1,"Hands down WORST ""teacher"" ever. DROP NOW!! He is not helpful and takes joy in handing out 0's. Consider yourself warned..."
1.5,Drop this class immediately. Absolutely will not teach anything that is not needed for the assignments. Flat out said he wouldn't answer my question about something in the textbook because we wouldn't need it for any assignments. You are better off buying the book and using stackoverflow for your questions.
1,"Easily the worst teacher I've ever had. His idea of teaching was ""Just read the book."" He would look for any excuse to give 0's on assignments. I got one on the 1st assignment of the semester  not because it was late  but because I sent it as attachment in email instead using Blackboard. It seemed to me like he was only there to collect a paycheck."
1.5,Warning: By far the worst online teacher no communication skills  no desire to help
1.5,Showed his assignments and emails to IT personnel I work with and was adivsed that his class wouldn't be of use in the real world.
4,Knows alot  the class is long and boring but she gives good notes.
5,Originally didn't enjoy this woman  however  she is unfortunately stuck with teaching the worst subject of all time..I like her alot as a person  she IS very dry and not interested in what she's teaching  but who could blame her? give her a shot- she's ok :)
4,Knows her**** but is really hard. Unfair grader and tests are horrible.
3.5,One word. DRY.
5,Great Teacher  learned a lot from her class. She is very helpful and is willing to meet with you after class if you are having trouble. Though shes a very hard grader  she is reasonable. Take her class only if you are willing to learn and work.
2.5,Very tough...not funny. But I learned Alot! Overall not bad.
4.5,Very helpful  and she knows her stuff. She is willing to help you with any questions you may have.
1.5,boring as dirt
1,Horrible professor  graded unfairly  will give you the same grade for projects based off your first project grade... bias toward girls.. terrible experience with her for building tech...
3,Talks like the Shabby Sheak lady on HGTV  OHMYGOD  informative  helpful  funny in dry way  but there were *NO* HANDOUTS  SHE AND CHARLIE READ FROM A FREAKING NOVEL THAT THEY EXPECTED US TO WRITE DOWN  'scuse me  but I'VE GOT CARPEL TUNNEL! P'd me off!
5,Great professor to take  very professional.
4.5,This was probably one of my favorite studios. Lauren was very helpful and professional as well as working out details.
2.5,Don't get sick during semester. u'll get no sympathy. Needs nu wardrobe  safari attire--good thing she designs arch not clothing. Bases grades on pers opinion  not ur work. Best wishes if u get stuck w/ her.
4.5,I loved the course I took with Beverly. I definitely got some practical information I could actually use.
5,Beverly was extremely helpful and had a lot of practical advice. I will actually use what I learned in her class  which certainly isn't the case with all RTC courses.
1,Nice lady but clueless. Announcing that she was single and available didn't help. Begged for us to give her fives....I thought that was inappropriate.
2,I have taken 8 RTC courses and she was the worse instructor. She was late to class and did not pay attention during class presentations. We went to the a pool one day. What a waste of time and money.
4.5,Professor Faunce is a very fair teacher. If you do your work  you'll get an A. Some of her activities may seem very elementary ed  but that's the program  not her!
1,Having just completed my 13th RTC course  she is by far the worst instructor I've had. I would never take another course with her.
4,She's kind of funny  some of the activities make you feel like you're in elementary school.
4,Pluss is hysterical and made COMM Research Methods bearable. There are no surprises here and the final is just the four quizzes she gave throughout the semester. Of those four  she drops the lowest one. There were 5 assignments  5 quizzes (including the final). The material can be dry but that's not on her. she made a boring class fun  take her.
3,"Prof. Pluss is sweet and upbeat. Her ""quizzes"" are about 40 questions. However she does drop the lowest of the 4. There is a group project and a final project. Easy A if you study for the quizzes."
2,I took her for research methods and had to drop her class half way. Nice lady but VERYYYYY tough grader and gives you an F even if you do the work. (I had 5 Fs even though i did my work and gave everything on time) Usually gives 12 assignments and the final Research project. The lectures are pretty long. Overall i do not reccomend.
1.5,Professor Pluss grades assignments very harshly  even when you put effort into them. Not clear when explaining material and class is very boring.
4,I believe she has changed her teaching style since these last comments. She's very into the class   but its just too much for a 110 course. Had to curve the mid-term and final because the averages were 70s. She would be great for a higher level course  but you can definitely take an easier professor for this class.
5,GREAT PROFESSOR! I love this class. She sso helpful and teaches in an interesting way. The test and quiz was challenging but it was all good! Study cause you will need to know your stuff! VEry fun class.
5,She is a best professor. We had 2 project  and 2 exam. I passed her class with a  A or B. I am not sure. However  she is helpful. If you need a good grade and want to take the course  I say take her class. She is helpful  and a great professor. Trust me.
5,She's a great professor who give a fantastic introduction to the university. If you have a chance to take her  go for it!
5,Super nice lady and the class is super easy
4.5,"The easiest ""A"" I ever got. Easiest grader @ WPU. You're told what's going to be on the exams and speeches are graded more on effort and organization. Don't worry  you don't have to give a Powel or Obama-like delivery."
5,I love this professor!!!!! She is awesome. Definitly take her.
5,Excellent Professor and loves what she is teaching. She is very nice and willing to help. Take her if you can! Very pleasant working environment and very down to earth.
5,easy A.short homework assignments due weeekly and easy midterm and final.
5,She is a very fair prof.The material is easy and she makes it interesting.No midterm just weekly hw assignments  a speech  & a few papers.I had a lot of fun in the class and I think she's a great instructor. Very sweet!
3,Very nice woman  but really isnt the teaching type. In a semester  we learned maybe...10 things total which she kept repeating OVER AND OVER AND OVER again...she's pretty easy though  final  midterm  speech and a paper.
3,Shes nice and occasionally has fun in-class assignments but most of the time its just boring common sense material. Tests are essays and study guides are very broad. Not much to evaluate your grade.
4,No Comments
4,She grades on the Final  Midterm  1 short paper  1 5 min speech  and attendance. The paper & speech are easy but the tests are tough. She gives study guides but they cover a lot of material. Answers Emails very quickly.
4.5,She is very easy but you have to show up to classes because she covers the material on the test in class.
4.5,Pros Pluss is very nice  she tries to make class fun. Her grading is fair and if you take her notes you are sure to pass her tests. She only assigns about 1 report on a movie and 1 oral report  shes pretty easygoing and class was not hard at all.
5,No Comment
5,Great person and teacher - easy style and fun to have class with.
4.5,Very nice and smart. She asked us to do a few extra papers beyond RTC requirements.
4.5,She's cool. sometime laughs upsettingly loud but that's not from an evil intention. she enjoys teaching. class is about critical writing and provides fun discussion time. it goes in appropriate pace so it's easy to keep up. hw amount is moderate.
5,she is a very nice teacher. she is really clear on what she wants us to accomplish. tries and helps students understand as much as possible. grades fair  but a little hard. do the homework  a few essays from the readings but she will walk you through it
1,No Comments
5,In addition to those two smiling faces below  she is fair! You'll do your HW and you'll be fine! She is encouraging  motivating  consistent  practical and understanding. She prepares you well for final so you can not fail!No tricks! There should be more teachers like her in SDSU!! It is a journey that you don't regret while in school and after.
5,She is one of the best professors I've ever had - she really cares about her students and their learning experience. She actually TEACHES. I learned so much from her. The only people who have any problems are the lazy ones that never go to class. Plus she's really cute. :)
4.5,Mary is a very cute lady(funny clothes!)...she gives examples of A papers  makes you write pre-paragraphs and discusses what is good and bad in them before the essays are due(very clear)  only 3 quizzes(easy). I got an A(97) and adored her  class was only boring if you didn't add to the conversation.
1,I did not know there is a teacher in this world that is lazy as she is. She dismisses the class very early so if some student did not undrestand thay have to learn themselves at home. But if you are lazy as she is and do not want to learn anything you may take her class. Do not worry she either gives you a grade to pass or not
2.5,she isnt as hot as everyone is saying and her class is usually boring... she drops your grade for bad attendence... essays and assignments are easy enough though
3,shes too damn liberal. i think shes a communist. she tries to politicize english. thats not the way it should be.
2.5,one word---BORING...sooo boring... her lectures are unorganized.
5,Great teacher. Very helpful and understanding.
2,She is not all that..lectures are BORING    takes atendance and lower you score for missing class. not helpful...
5,I never thought I would like a writing class. She is very nice and helpfull. Good looking also.
5,She's an awesome professor! I never thought I will enjoy writing til I had her as my professor!
5,She is a very nice/beautiful/kind/helpful teacher! If you are motivated for learning  definitly you can make it! But  please show up and hand in assignment on time:(very important)
5,"""Grammar and language made easy"" should be the tittle of her class. Excellent professor!"
5,Great teacher  hot. Very helpful.
3,Doesn't really teach the class. She just breaks us down into small groups and we have to read and do group discussions every class. Not much homework. Gives you study guides for the exam but doesnt really review. Overall dont take her if you dont like group discussions and if you can't teach yourself.
3,Lots of reading  does give a review sheet but exams are not easy if you don't read the chapters..you have to spread to groups every class and discuss the readings..if you hate reading or group discussions don't take her class!!
5,I had Prof Francese a few semesters back. I called on her for a letter of ref and she was all about it. She was as helpful later as she was in class. Do the reading do the work and you'll be fine. She is very open minded and likeable
2.5,I think that the women studies class would have been more interesting if I took another teacher. Francese seems like a nice person  and her heart is in the right place  but I just don't think she is teacher material. He class is boring  I dreaded going. Sorry Ms. Francese but its the truth!
2.5,Tests: extremely difficult  unless you actually memorize each of the 80 definitions she hands out for you to look up. The tests also have little to do with class discussions. Homework: read 100 pages a week. Her attitude: standoffish  does NOT understand this is a gen. ed. i'm a studio art major  which means more time consuming work than most oth
2.5,UGH! Ridiculous! Francese is a nece person and seems to have a good heart  but does have an attitude problem. Her class is very boring  it could be an interesting class but she makes it BORING!
1,The reading is absolutely ridiculuos. The chapters are 80 or more pages long that needs to be read for the next week discussion. The book is so boring  things that you absolutly would not have interest. She says that she can't judge us based on our opinions but she does during discussion. don't take her.
4,This was the easiest of all the classes i took this semester if you take her at night she lets you out early you get no break either way pretty much gives you the answers to the test and there is a opinion paper  class is all discussion with 1 video and she trys to get guest speakers there is a short oral presentation on a reading of your choice.
2.5,Didn't really like her or the class. The whole semester you'll think you're doing good and then when your final grade is a D don't be surprised. If you would like to read and MEMORIZE and entire book (her exams are all fill in the blank) then take this class.
3,Her tests were imposible. The reading is rediculous. You have to memorize stuff that ultimatly means nothing.
4,A LOT of reading. A lot of memorization for the tests  which are tough even if you read. Classtime is pretty much all discussion. Do all the readings  and study for the tests  and you'll do okay. Not a class I looked forward to  though.
4.5,Very knowledged professor who knows what she's talking about and does not try to push her own opinions on topics raised in class onto her students. The class is very interesting and she will open your eyes to a new world.
5,She is awesome. I wish i needed to take more classes because I would definitly find something she was teaching. She is very easy and laid back. She really knows what she is talking about because she works in the field with abused women.
5,very good teacher.. wouldnt mind taking her for another class.. very fair with the work given! :0)
4.5,class was intereseting...the whole class was involved....She was very nice....cancelled class a few times...i would take her again for another class...
4.5,She was very nice...the assignments were clear....very easy going...i enjoyed going to her class...she kept the class involved
2,She gives a LOT of reading!! All we did in class was read a reading from the book as a group and then discuss it  preety easy! her tests are easy if you read the book. She was absent about 4 times  (which was good for us).overall.i dont regret taking her
4.5,Dr. White is one of the best professors I have ever had. She truly loves students and what she teaches. She is like a mother in the classroom. She is also really funny. She gives pop quizzes a lot and there is assigned reading.
5,Great teacher  knows what she is talking about. Super nice and funny  explains things clearly.
5,She is the best professor I ever had in my life! Great personality and very knowledgeable! Very respectful  professional and helpful. Even if you were not perfect but were working hard she will give you great grade! She is my favorite professor and absolutely recommend her class!!!
5,She is the best professor I ever had in my life! Great personality and very knowledgeable! Respectful to students and very helpful. Even if you were not perfect but were working hard she will give you great grade! I love her so much!!!!
3.5,Dr. White has a very outspoken personality. If she sees you sleeping or daydreaming  she will call you out. However  she is an amazing teacher. Truly knows what she is talking about and really wants you to actually learn. If you enjoy PR  take her. I would recommend her to everyone.
1,You absolutely have to read every night because she has pop quizzes so randomly. Sometimes once or twice a week and they are very technical questions that aren't multiple choice. and she doesn't drop it at the end when she drops your lowest quiz grade. We also has a paper that she changed to being worth 20 percent of our grade AFTER turning it in.
1,By far the most condescending  mean  disrespectful  and downright rude professor ever. Of all the classes I have taken in my college career  this was the absolute worst. Very unclear instructions not to mention ridiculous amounts of outdated readings required. Do yourself a favor and do not take any classes by her. You will regret it.
5,Loved her. She is a bit crazy - but in a good way. She genuinely wants her students to have a good grasp on the material. If she is teaching any other upper level PR classes while I'm at UT  I will definitely sign up for them! Attendance isn't mandatory  but encouraged - she gives in-classes quizzes pretty often & they're worth a lot of your grade.
2,She really contradicts herself. You have to read the book before she teaches you or else you will get confused. She rambles about her study abroad trip a good 20% of most classes.
5,Dr. White is by far the best teacher I've had at UT. If you come to class and pay attention  she will be incredibly helpful  especially in office hours. She gives pop quizzes but also gives at least 3 opportunities to replace a bad quiz grade if you come to class. Overall  she's helpful  to the point  and knows her stuff. Take this class for sure
4,Good instructor. Don't skip class-she gives frequent pop quizes. Read the text  ask questions  and take good notes. Tests are multiple choice.
4,She is a very good teacher. She loves the subject. She has a quiz every week but it's like one question and writing your name's already 50% of the quiz! It's boosts up my grade for sure. The exams are pretty easy but I still fail them  lol. Still gives you credit for speaking up in class and she likes it if you sit in the first 5 rows.
5,Dr. White is a fantastic instructor. She is very passionate about PR and gets the class involved so that you aren't falling asleep. She offers daily quizzes to check attendance and to help boost your grade! She is absolutely wonderful and someone I admire greatly.
4,"Dr. White is scary and can be rude. She knows what she is talking about but intimidated me to death! Wants people to ""join in the discussion"" and will call you out in front of the class if you made a mistake. I did learn a lot but would have rather had a different professor. If you have to take her you will be fine. I got a B+ for the course."
5,Dr. White is an incredible professor. Two years into my PR career  I still quote things she said in my class. She's tough but fair. Despite it's appearance  PR is very difficult field. Her class is a good test on whether you'll succeed. Sit in the front  join PRSSA and do all the readings. If you don't enjoy this class  don't major in PR!
1,she is horrible...talks to students like the are in fifth grade. take dr. shaw
4.5,Be vocal and participate. If she can tell you're daydreaming you're screwed. Very intelligent woman and knows her stuff. She remembers just about all of her students which I think is a good sign. I really liked her  one of my fave profs. She was my advisor too and helped me a lot.
4,I liked her and she still remembers me. I would suggest sitting in the front row or at least be vocal during discussions. That's the best way to get a long with her.
4,She does favor those who are vocal in class and demonstrate comprehension of the material  so sit near the front and speak out. I got a B+ in the class and cracked the book maybe twice. Just look out for the squeeks.
2,The worst teacher I ever had. So negative about everything  not understanding  and just plain unfair to people she doesn't favor. HIGHLY RECCOMEND TAKING THIS COURSE FROM DR.SHAW
3,The most time consuming class I've ever taken. She is a tough grader but very detailed in her feedback. Online class had 7 total papers and endless online discussions. I asked her a question about one of the papers and she was VERY rude about it. I'll admit I didn't read the entire assignment but still  she could've been nicer about it.
5,This class will kick your butt! With that being said  you will become a better student because of it. Instructor is very very knowledgeable and has fantastic real life stories to share. This class requires a lot out of you  tests are far from easy and the countless papers and online classroom discussions will require a lot of time and committmen
4,I liked her  her instructions were detailed and it was easy to do an assignment then look at the list and check them off. She wrote up her own material which was easily printed off from canvas and her video lectures could be listened to on mobile app. Topics changed every 2 wks but I promise  you will learn so much. Do all extra credit.
4,If you have a lot of classes  and/or work  I do not recommend this class. She is a great teacher  opinionated but thoughtful. Papers due every two weeks  one semester paper  and participation in online threads mandatory (min of two posts  then at least two more as more people joined.) STUDY for the quizzes/tests.
5,This class is definitely a challenge but one that I enjoyed. She does assign alot of work but gives plenty of time to turn them in. Some say that she's opinionated but I'd like to think of her as a free thinker that's aware of the problem with society. She wants students to think  and i can appreciate that. Study Study. I pulled off an 87
5,Good teacher.
4.5,Writing notes important to pass She takes notebooks for a grade. Will not let you use laptop in class Txtbk only available online (McGraw-Hill) Complete Learnsmart sections on McGraw-Hill almost every week for hmwk Online quiz every week (15 min. for 20 questions) Nice & helpful. Some classmates are offended when she has to cover religion/Puritans.
2,Extremely opinionated and grades papers based off the opinions stated. I.e. if you disagree with what she says in lecture your grade will be poor. Worst professor I've ever had.
4.5,-take notes (for a grade) -read assigned chapters & HW -test are over lecture & readings -EXTRA CREDIT & DOES NOT LET YOU FAIL -AMAZING at help -a semester research paper  ( 5 pgs.) BUT if you ask her for help  visit  her office  & see's you're working
4,Professor Ledbetter may seem a little all over the place  okay she really is all over the place. READ THE TEXTBOOK there's a test every couple of weeks  a lecture and reading. She's there for help all you have to do is ASK!! She has plenty of material to help you with your topics for her research paper  I really enjoyed her class.
1,7 papers for a short summer term!!! please do yourself a favor and DON'T take her class. Tough grader. endless homework.
5,AMAZING!!!! I learned so much from Prof. Ledbetter and the course is very eye opening! Loved and would definitely take again
4.5,Pat Ledbetter is extremely knowledgeable and certainly knows this subject inside and out. She is very involved with the online students  as she would email me right back if ever I had any issues or questions. She interacts with the class in the discussion forums  as well. I must tell you  however  that you DO need to DO THE WORK. She likes to assign writing papers and her tests can be challenging  but if you aim to learn and do the work YOU WILL LEARN! She is very good at what she does  but she is pretty tough.
1,Do yourself a favor and do not take this class. The papers that you will be directed to write will come with vague instructions. When you follow the instructions  guess what  the rules change and you are penalized. Unfair grading  vague descriptions  topic jumping (also vague)  you do not know how she arrives at your grade  because its made up.
3,LOTS of homework. 6 unit papers plus term paper  unit quizzes  reading and rating other student's work  and mandatory active participation on discussion boards. NOT EASY to work into a busy schedule as you had to more or less log in and participate DAILY. No text book  but 45-70 minute video lectures each unit.
